Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP112821	0.442349723640048	1	44	0	0.404953077304633	0.490562281796669	0.085609204492036	16	28	3420	1399	2021	NA	NA	NA	NA
SP112827	0.441046716015151	1	48	0	0.487257597878464	0.428795418348064	-0.0584621795304	20	28	3635	1403	2232	NA	NA	NA	NA
SP116296	0.440108629736072	1	26	0	0.463130557960179	0.442416891780142	-0.020713666180037	11	15	1908	786	1122	NA	NA	NA	NA
SP112817	0.440048827756314	1	43	0	0.445524420309705	0.457751037577967	0.012226617268262	17	26	3372	1355	2017	NA	NA	NA	NA
SP116222	0.429088029255737	1	27	0	0.499456052056327	0.40361117136303	-0.095844880693297	12	15	2012	790	1222	NA	NA	NA	NA
SP116263	0.424154676780177	1	25	0	0.512446475618499	0.384681760637255	-0.127764714981244	12	13	2084	853	1231	NA	NA	NA	NA
SP23455	0.418473459899264	1	25	0	0.216284192398574	0.573869613729345	0.357585421330771	5	20	2159	861	1298	NA	NA	NA	NA
SP80160	0.408317089018843	1	6	0	0.461787184009406	0.38661252614741	-0.075174657861996	3	3	553	252	301	NA	NA	NA	NA
SP23451	0.402723375487337	1	30	0	0.332034030437583	0.471647468072557	0.139613437634974	10	20	2355	978	1377	NA	NA	NA	NA
SP23431	0.248434684217653	1	110	0	0.347228486056889	0.192084572941784	-0.155143913115105	61	49	13175	5373	7802	NA	NA	NA	NA
SP80213	0.220255550900712	1	3	0	0.370507399577167	0.129526977087953	-0.240980422489214	2	1	418	172	246	NA	NA	NA	NA
SP116288	0.207288552661013	1	6	0	0.16726562628202	0.247851089956353	0.080585463674333	2	4	860	366	494	NA	NA	NA	NA
SP116249	0.192903225806452	1	1	0	0	0.331552419354839	0.331552419354839	0	1	273	113	160	NA	NA	NA	NA
SP80217	0	1	0	0	0	0	0	0	0	106	43	63	NA	NA	NA	NA
SP116278	0	1	0	0	0	0	0	0	0	89	33	56	NA	NA	NA	NA
SP125579	0	1	0	0	0	0	0	0	0	56	25	31	NA	NA	NA	NA
SP82988	2.3892896234864	0	19277	11209	2.15368174140422	2.64120612013838	0.48752437873416	6602	12675	143855	56073	87782	4.30915400107287e-48	4.88370786788259e-47	4	A3A
SP124415	2.3724268640694	0	174520	100958	2.04463126355426	2.67903863775097	0.63440737419671	56552	117968	1315172	507390	807782	0	0	4	A3A
SP82445	2.33669600816906	0	144582	82707	2.10510752742485	2.58452670031171	0.47941917288686	49322	95260	1135170	441164	694006	0	0	4	A3A
SP82900	2.32319585421511	0	55103	31384	2.02068367829381	2.61309478277219	0.59241110447838	18049	37054	429638	166041	263597	5.10497917644298e-207	1.73569291999061e-205	4	A3A
SP83146	2.29961825008969	0	68207	38547	2.04987236364059	2.55637207488347	0.50649971124288	22858	45349	531668	205209	326459	1.56592590908367e-190	3.99311106816335e-189	4	A3A
SP124409	2.28595411524591	0	49113	27628	2.18199744791072	2.45240735969749	0.27040991178677	17854	31259	377605	147631	229974	5.45981733610407e-41	5.06273971166014e-40	4	A3A
SP124444	2.23752721420449	0	3286	1817	2.05447802403666	2.44995604086945	0.39547801683279	1152	2134	29045	11375	17670	2.68450077158096e-07	4.98129518307217e-07	4	A3A
SP124319	2.23626117761304	0	39728	21963	2.07008518971013	2.43955968462634	0.36947449491621	13954	25774	313309	122037	191272	1.43087032245676e-63	2.08498246986556e-62	4	A3A
SP124449	2.19224773088362	0	25705	13980	2.1148679143829	2.33581168389499	0.22094376951209	9459	16246	211196	82658	128538	1.96579317160196e-16	1.05532054475474e-15	4	A3A
SP82433	2.18139712489873	0	8156	4417	2.10541648602023	2.32394390762904	0.21852742160881	3027	5129	69725	27504	42221	4.35484551708405e-06	7.28187283184545e-06	4	A3A
SP124428	2.15190026470523	0	56072	30015	2.04125333700993	2.31538057326538	0.27412723625545	20192	35880	463960	180771	283189	3.56379231923706e-53	4.54383520702725e-52	4	A3A
SP124454	2.14860316049998	0	10434	5578	2.00476885089155	2.33489748464294	0.33012863375139	3704	6730	89218	34850	54368	1.61277282298896e-15	8.22514139724367e-15	4	A3A
SP124389	2.11842361416566	0	12622	6664	2.01614496915506	2.28054123140758	0.26439626225252	4577	8045	106948	41876	65072	1.09312172510144e-12	4.45993663841386e-12	4	A3A
SP124376	2.09072077639885	0	9699	5060	1.99716064741574	2.23918737828741	0.24202673087167	3539	6160	83869	32858	51011	7.23305510080023e-09	1.67675368245823e-08	4	A3A
SP82644	2.08623302196213	0	42853	22312	2.0747819260993	2.18540368994166	0.11062176384236	16264	26589	365114	143065	222049	2.67131949500306e-08	5.56070588755739e-08	4	A3A
SP82796	2.08031758137441	0	7483	3886	1.94671529282408	2.25449666637892	0.30778137355484	2655	4828	68262	26559	41703	9.62886118542543e-11	2.80612525975255e-10	4	A3A
SP124396	2.0780718938665	0	7768	4030	1.93866929860506	2.26103242882844	0.32236313022338	2761	5007	71944	28159	43785	4.95376038075357e-12	1.74235709943746e-11	4	A3A
SP124460	2.07309949436676	0	27895	14439	2.04541569208076	2.18320681308886	0.1377911210081	10531	17364	246205	96749	149456	2.00630804170651e-08	4.44877000552313e-08	4	A3A
SP82417	2.07007540151861	0	45010	23267	2.0707450372772	2.16245230635175	0.0917072690745497	17347	27663	383036	151574	231462	1.87689280105702e-06	3.24479772386129e-06	4	A3A
SP124307	2.0551320331224	0	21270	10920	1.9991390454061	2.18246812138973	0.18332907598363	7927	13343	185407	72942	112465	4.26875190324053e-11	1.36066466915792e-10	4	A3A
SP124439	2.05414353250673	0	54409	27922	1.86500257338134	2.2669338099317	0.40193123655036	18838	35571	482120	188810	293310	6.64916255584676e-119	1.35642916139274e-117	4	A3A
SP124380	2.05376882885936	0	27150	13930	1.95124596867979	2.20993297001538	0.25868700133559	9829	17321	244937	95830	149107	8.58249132275196e-26	6.25295796371929e-25	3	A3A
SP124418	2.04925356831626	0	17611	9017	2.05758453971471	2.1333357067265	0.0757511670117901	6820	10791	162707	64411	98296	0.0134334056702968	0.0171275922296284	3	A3A
SP124423	2.04221608277843	0	5825	2973	1.9802037343286	2.17112913902323	0.19092540469463	2161	3664	50587	19866	30721	0.000307942720023555	0.000448716534891466	3	A3A
SP124362	2.02863609163326	0	37152	18838	2.02650761679241	2.1185191380017	0.0920115212092898	14186	22966	324323	127255	197068	9.83129707027537e-06	1.61740693736788e-05	3	A3A
SP124386	2.02532849199995	0	19713	9980	2.03445801489695	2.10960982091935	0.0751518060223999	7579	12134	175338	68923	106415	0.00850732559151422	0.0109841419029677	3	A3A
SP124399	2.02210427562739	0	23570	11914	1.99455812091561	2.12887880969216	0.13432068877655	8891	14679	216004	84813	131191	2.68599250067617e-07	4.98129518307217e-07	3	A3A
SP83844	2.01979391150506	0	9235	4663	1.91049017781414	2.17638782733642	0.26589764952228	3316	5919	86230	33593	52637	1.75499486210567e-10	4.8380939441832e-10	3	A3A
SP83019	2.01937602413857	0	16231	8193	1.97104548882158	2.14230587564695	0.17126038682537	6053	10178	147760	58012	89748	4.97262493773691e-08	9.94524987547381e-08	3	A3A
SP124434	2.01836491202574	0	14084	7106	1.94620695221849	2.15637472254236	0.21016777032387	5145	8939	128422	50007	78415	4.72653132953231e-10	1.20526548903074e-09	3	A3A
SP124412	2.01548140322548	0	12080	6086	1.96328366916792	2.13932600393326	0.17604233476534	4498	7582	116196	45622	70574	1.34796186053612e-06	2.3705536168049e-06	3	A3A
SP124420	2.01290451676399	0	11892	5984	1.99165352104906	2.11999271639427	0.12833919534521	4468	7424	107260	41882	65378	0.000467636099278813	0.00067181524121745	3	A3A
SP124326	1.9982100833149	0	9863	4927	1.96364551751854	2.1113145901843	0.14766907266576	3718	6145	92518	36465	56053	0.000219533923066005	0.000324528408010616	3	A3A
SP124365	1.99528026440456	0	11724	5848	1.9267401034674	2.13036943827075	0.20362933480335	4297	7427	114096	44513	69583	2.89320642290569e-08	5.9021411027276e-08	3	A3A
SP83382	1.99207848033255	0	9551	4757	1.83749910133854	2.17885753114258	0.34135842980404	3333	6218	88810	34512	54298	2.69266356993325e-17	1.52584268962884e-16	3	A3A
SP124447	1.98665629487594	0	69290	34412	1.85814255466336	2.15594600313622	0.29780344847286	24543	44747	660368	256816	403552	4.07236911200516e-88	6.92302749040877e-87	3	A3A
SP124334	1.98457622200624	0	14040	6965	1.95574698469407	2.08880785670941	0.13306087201534	5322	8718	133197	52569	80628	6.14379000944327e-05	9.79166532755022e-05	3	A3A
